O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-1011.03	4.C.1.a.2.f	Telephone Conversations	CXP	4	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.f	Telephone Conversations	CXP	5	81.48	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.h	E-Mail	CX	n/a	5.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.h	E-Mail	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.h	E-Mail	CXP	2	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.h	E-Mail	CXP	3	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.h	E-Mail	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.h	E-Mail	CXP	5	100.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.j	Written Letters and Memos	CX	n/a	3.44	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.j	Written Letters and Memos	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.j	Written Letters and Memos	CXP	2	22.22	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.j	Written Letters and Memos	CXP	3	25.93	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.j	Written Letters and Memos	CXP	4	37.04	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.j	Written Letters and Memos	CXP	5	14.81	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CX	n/a	4.67	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	2	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	3	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	4	33.33	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	5	66.67	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.4	Contact With Others	CX	n/a	4.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.4	Contact With Others	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.4	Contact With Others	CXP	2	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.4	Contact With Others	CXP	3	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.4	Contact With Others	CXP	4	37.04	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.a.4	Contact With Others	CXP	5	51.85	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CX	n/a	4.78	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CXP	2	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CXP	3	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CXP	4	14.81	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CXP	5	81.48	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.f	Deal With External Customers or the Public in General	CX	n/a	3.85	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.f	Deal With External Customers or the Public in General	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.f	Deal With External Customers or the Public in General	CXP	2	22.22	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.f	Deal With External Customers or the Public in General	CXP	3	14.81	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.f	Deal With External Customers or the Public in General	CXP	4	18.52	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.f	Deal With External Customers or the Public in General	CXP	5	44.44	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.g	Coordinate or Lead Others in Accomplishing Work Activities	CX	n/a	4.22	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.g	Coordinate or Lead Others in Accomplishing Work Activities	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.g	Coordinate or Lead Others in Accomplishing Work Activities	CXP	2	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.g	Coordinate or Lead Others in Accomplishing Work Activities	CXP	3	14.81	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.g	Coordinate or Lead Others in Accomplishing Work Activities	CXP	4	37.04	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.b.1.g	Coordinate or Lead Others in Accomplishing Work Activities	CXP	5	44.44	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.1	Health and Safety of Other Workers	CX	n/a	2.63	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.1	Health and Safety of Other Workers	CXP	1	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.1	Health and Safety of Other Workers	CXP	2	40.74	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.1	Health and Safety of Other Workers	CXP	3	29.63	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.1	Health and Safety of Other Workers	CXP	4	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.1	Health and Safety of Other Workers	CXP	5	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.2	Work Outcomes and Results of Other Workers	CX	n/a	3.85	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.2	Work Outcomes and Results of Other Workers	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.2	Work Outcomes and Results of Other Workers	CXP	2	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.2	Work Outcomes and Results of Other Workers	CXP	3	22.22	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.2	Work Outcomes and Results of Other Workers	CXP	4	37.04	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.c.2	Work Outcomes and Results of Other Workers	CXP	5	29.63	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.1	Conflict Situations	CX	n/a	3.04	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.1	Conflict Situations	CXP	1	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.1	Conflict Situations	CXP	2	25.93	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.1	Conflict Situations	CXP	3	40.74	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.1	Conflict Situations	CXP	4	22.22	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.1	Conflict Situations	CXP	5	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CX	n/a	2.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	1	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	2	59.26	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	3	22.22	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	4	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	5	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CX	n/a	1.19	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	1	81.48	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	2	18.52	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	3	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	5	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.a	Indoors, Environmentally Controlled	CX	n/a	4.74	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	1	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	2	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	3	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	4	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	5	85.19	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CX	n/a	2.15	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	1	18.52	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	2	55.56	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	3	22.22	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	5	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CX	n/a	2.23	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	1	7.69	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	2	61.54	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	3	30.77	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	4	0.00	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	5	0.00	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.d	Outdoors, Under Cover	CX	n/a	2.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.d	Outdoors, Under Cover	CXP	1	25.93	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.d	Outdoors, Under Cover	CXP	2	48.15	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.d	Outdoors, Under Cover	CXP	3	25.93	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.d	Outdoors, Under Cover	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.d	Outdoors, Under Cover	CXP	5	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CX	n/a	1.26	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	1	81.48	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	2	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	3	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	5	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CX	n/a	2.93	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	1	11.11	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	2	18.52	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	3	37.04	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	4	33.33	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	5	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.3	Physical Proximity	CX	n/a	2.78	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.3	Physical Proximity	CXP	1	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.3	Physical Proximity	CXP	2	37.04	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.3	Physical Proximity	CXP	3	51.85	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.3	Physical Proximity	CXP	4	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.a.3	Physical Proximity	CXP	5	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CX	n/a	2.15	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	1	34.62	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	2	34.62	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	3	15.38	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	4	11.54	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	5	3.85	26	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.b	Exposed to Very Hot or Cold Temperatures	CX	n/a	1.63	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.b	Exposed to Very Hot or Cold Temperatures	CXP	1	48.15	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.b	Exposed to Very Hot or Cold Temperatures	CXP	2	48.15	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.b	Exposed to Very Hot or Cold Temperatures	CXP	3	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.b	Exposed to Very Hot or Cold Temperatures	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.b	Exposed to Very Hot or Cold Temperatures	CXP	5	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.c	Exposed to Extremely Bright or Inadequate Lighting Conditions	CX	n/a	1.52	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.c	Exposed to Extremely Bright or Inadequate Lighting Conditions	CXP	1	62.96	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.c	Exposed to Extremely Bright or Inadequate Lighting Conditions	CXP	2	29.63	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.c	Exposed to Extremely Bright or Inadequate Lighting Conditions	CXP	3	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.c	Exposed to Extremely Bright or Inadequate Lighting Conditions	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.c	Exposed to Extremely Bright or Inadequate Lighting Conditions	CXP	5	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.d	Exposed to Contaminants	CX	n/a	1.59	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.d	Exposed to Contaminants	CXP	1	48.15	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.d	Exposed to Contaminants	CXP	2	44.44	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.d	Exposed to Contaminants	CXP	3	7.41	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.d	Exposed to Contaminants	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.d	Exposed to Contaminants	CXP	5	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.e	Exposed to Cramped Work Space, Awkward Positions	CX	n/a	1.37	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.e	Exposed to Cramped Work Space, Awkward Positions	CXP	1	66.67	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.e	Exposed to Cramped Work Space, Awkward Positions	CXP	2	29.63	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.e	Exposed to Cramped Work Space, Awkward Positions	CXP	3	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.e	Exposed to Cramped Work Space, Awkward Positions	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.e	Exposed to Cramped Work Space, Awkward Positions	CXP	5	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.f	Exposed to Whole Body Vibration	CX	n/a	1.19	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.f	Exposed to Whole Body Vibration	CXP	1	92.59	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.f	Exposed to Whole Body Vibration	CXP	2	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.f	Exposed to Whole Body Vibration	CXP	3	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.f	Exposed to Whole Body Vibration	CXP	4	0.00	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	4.C.2.b.1.f	Exposed to Whole Body Vibration	CXP	5	3.70	27	n/a	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
