O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-1011.00	4.C.1.c.2	Work Outcomes and Results of Other Workers	CXP	5	77.61	36	10.2062	51.2695	91.9519	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.1	Conflict Situations	CX	n/a	3.86	37	0.2012	3.4477	4.2640	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.1	Conflict Situations	CXP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.1	Conflict Situations	CXP	2	13.21	37	6.9968	4.2293	34.4161	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.1	Conflict Situations	CXP	3	16.03	37	7.9696	5.4339	38.8127	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.1	Conflict Situations	CXP	4	42.72	37	16.1017	16.4116	73.9075	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.1	Conflict Situations	CXP	5	28.04	37	11.7094	10.7220	55.8344	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CX	n/a	3.24	36	0.1964	2.8368	3.6344	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	1	0.54	36	0.5634	0.0653	4.3484	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	2	17.63	36	8.2583	6.3222	40.4418	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	3	50.13	36	14.9486	22.9941	77.1916	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	4	21.11	36	9.0681	8.1380	44.6975	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.2	Dealing With Unpleasant, Angry, or Discourteous People	CXP	5	10.58	36	7.4935	2.3171	37.1335	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CX	n/a	1.46	37	0.1273	1.1992	1.7155	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	1	63.08	37	8.5866	44.7151	78.3005	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	2	28.11	37	7.9327	14.9958	46.4362	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	3	8.81	37	6.2253	1.9672	31.7452	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	4	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.d.3	Dealing with Violent or Physically Aggressive People	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.a	Indoors, Environmentally Controlled	CX	n/a	4.82	37	0.1048	4.6119	5.0000	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	1	2.15	37	2.1730	0.2700	15.1421	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	2	0.48	37	0.5003	0.0588	3.8506	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	3	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	4	7.51	37	5.0821	1.8095	26.3647	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.a	Indoors, Environmentally Controlled	CXP	5	89.85	37	5.6779	71.4632	96.9053	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CX	n/a	2.19	37	0.3752	1.4288	2.9506	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	1	51.64	37	9.3413	33.3398	69.5166	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	2	18.76	37	5.6155	9.8587	32.7733	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	3	0.48	37	0.5026	0.0583	3.8859	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	4	17.22	37	7.5801	6.6047	37.9485	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.b	Indoors, Not Environmentally Controlled	CXP	5	11.90	37	7.9995	2.7928	38.8311	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CX	n/a	2.12	37	0.2652	1.5819	2.6578	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	1	41.08	37	9.1211	24.5109	59.9562	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	2	26.58	37	10.9021	10.4409	52.9197	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	3	17.05	37	9.0371	5.3253	42.8942	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	4	9.85	37	6.0162	2.6914	30.1544	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.c	Outdoors, Exposed to All Weather Conditions	CXP	5	5.44	37	4.6917	0.8964	26.7835	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.d	Outdoors, Under Cover	CX	n/a	1.84	37	0.2326	1.3655	2.3092	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.d	Outdoors, Under Cover	CXP	1	52.68	37	9.4605	34.0228	70.6219	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.d	Outdoors, Under Cover	CXP	2	31.90	37	10.6121	14.8123	55.7793	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.d	Outdoors, Under Cover	CXP	3	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.d	Outdoors, Under Cover	CXP	4	9.85	37	6.0162	2.6914	30.1544	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.d	Outdoors, Under Cover	CXP	5	5.57	37	4.7023	0.9538	26.5517	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CX	n/a	1.26	37	0.1595	1.0000	1.5786	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	1	86.88	37	6.8056	66.3639	95.6979	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	2	5.20	37	3.3433	1.3665	17.8350	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	3	3.43	37	3.4845	0.4199	23.0585	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	4	4.48	37	4.5319	0.5459	28.6452	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.e	In an Open Vehicle or Operating Equipment	CXP	5	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CX	n/a	3.13	37	0.2601	2.6067	3.6619	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	1	19.78	37	9.2835	6.9971	44.6799	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	2	11.20	37	5.8833	3.6581	29.5090	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	3	29.73	37	7.9029	16.4181	47.6763	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	4	14.42	37	8.4451	4.0369	40.3009	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.1.f	In an Enclosed Vehicle or Operate Enclosed Equipment	CXP	5	24.88	37	7.1924	13.1740	41.9549	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.3	Physical Proximity	CX	n/a	2.67	36	0.2463	2.1685	3.1683	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.3	Physical Proximity	CXP	1	4.88	36	2.8485	1.4514	15.1347	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.3	Physical Proximity	CXP	2	55.23	36	14.5025	27.2718	80.2258	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.3	Physical Proximity	CXP	3	8.08	36	5.3198	2.0143	27.3383	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.3	Physical Proximity	CXP	4	31.82	36	11.9516	13.2307	58.8119	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.a.3	Physical Proximity	CXP	5	0.00	36	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CX	n/a	2.08	37	0.2817	1.5103	2.6530	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	1	44.72	37	10.1224	26.0700	64.9878	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	2	28.85	37	7.6436	16.0037	46.3190	N	n/a	08/2023	Incumbent
11-1011.00	4.C.2.b.1.a	Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable	CXP	3	8.94	37	5.0557	2.7094	25.7030	N	n/a	08/2023	Incumbent
